authors,big_sort,big_url,cover_link,detail_link,name,price,pub_time,publisher,small_sort,small_url
 王建 ,计算机与互联网,https://channel.jd.com/1713-3287.html,https://img11.360buyimg.com/n7/jfs/t145/281/572591999/342002/f2689f30/53918f7fN388148ad.jpg,https://item.jd.com/11471806.html,88例学会51单片机,34.10,2014-06,中国电力出版社,单片机与嵌入式,https://list.jd.com/1713-3287-4764.html
 刘慈欣 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/jfs/t1705/189/702227414/177982/cc8c12f0/55dab54dN5271c377.jpg,https://item.jd.com/11757834.html,中国科幻基石丛书·三体（套装1-3册）,64.20,2014-12,重庆出版社,中国当代小说,https://list.jd.com/1713-3258-3297.html
 沈建华 ,计算机与互联网,https://channel.jd.com/1713-3287.html,https://img13.360buyimg.com/n7/g14/M05/13/05/rBEhVlJJQeEIAAAAAARYZ1dYnDEAADvqwHqm_gABFh_155.jpg,https://item.jd.com/11323923.html,MSP430 超低功耗单片机原理与应用（第2版）,34.60,2013-09,清华大学出版社,单片机与嵌入式,https://list.jd.com/1713-3287-4764.html
 古龙 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/g10/M00/13/0C/rBEQWVFk3zsIAAAAAAqxYZ2V4dAAADyWQEknJcACrF5500.jpg,https://item.jd.com/11204572.html,古龙文集·小李飞刀（京东）（4部曲套装）,200.20,2013-04,河南文艺出版社,港澳台小说,https://list.jd.com/1713-3258-3301.html
 卢有亮 ,计算机与互联网,https://channel.jd.com/1713-3287.html,https://img11.360buyimg.com/n7/g14/M03/19/02/rBEhVlMm0u4IAAAAAAnjB9n71I0AAKYqwH4kYwACeMf777.jpg,https://item.jd.com/11420881.html,嵌入式实时操作系统μC/OS原理与实践（第2版）,41.00,2014-04,电子工业出版社,单片机与嵌入式,https://list.jd.com/1713-3287-4764.html
 古龙 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/g15/M05/00/15/rBEhWVG0YEsIAAAAAAfp36Fj7-MAAAIPQKLVdoAB-n3968.jpg,https://item.jd.com/11254624.html,(朗声插画版)古龙精品集－浣花洗剑录(全三册),57.50,2013-05,中山大学出版社,港澳台小说,https://list.jd.com/1713-3258-3301.html
 梁羽生 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t676/91/118086603/218427/b4818ce/546420c2N124ae785.jpg,https://item.jd.com/11131808.html,(朗声名家插画版)梁羽生作品集_冰川天女传(11_13)(全三册),48.20,2012-10,中山大学出版社,港澳台小说,https://list.jd.com/1713-3258-3301.html
 罗贯中 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t3751/332/23472170/408780/1cb7e68/57fc58acN2e194664.jpg,https://item.jd.com/11988125.html,四大名著（套装共4册）,199.00,2016-03,阳光出版社,中国古典小说,https://list.jd.com/1713-3258-3299.html
 吴承恩 ,小说,https://channel.jd.com/1713-3258.html,https://img12.360buyimg.com/n7/jfs/t2308/50/2109984431/411812/7f5ea7b3/569c474eNba3eb179.jpg,https://item.jd.com/1732799102.html,四大名著原著无删减全套4册精装 青少年版三国演义红楼梦水浒传西游记中国古典文学世界名著,108.00,2016-03,黑龙江美术出版社,四大名著,https://list.jd.com/1713-3258-3300.html
 曹雪芹 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t205/206/2688067046/112492/8b092408/53d22bccN4628e65a.jpg,https://item.jd.com/11503341.html,四大名著批评本：脂砚斋批评本·红楼梦（套装上下册）,67.40,2014-06,长春出版社,四大名著,https://list.jd.com/1713-3258-3300.html
